area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,price
4306.971093,4,2,3,yes,no,no,no,yes,2,23807.62253
4732.863826,4,4,4,yes,no,no,no,yes,3,46173.57355
4989.98998,3,2,2,yes,no,yes,no,no,2,25491.22063
4330.127019,4,2,2,yes,no,yes,no,yes,3,18941.80522
4306.971093,4,1,2,yes,yes,yes,no,yes,2,17582.99123
4330.127019,3,3,1,yes,no,yes,no,yes,2,15887.35332
4631.414471,4,3,4,yes,no,no,no,yes,2,30743.31778
6363.961031,5,3,2,yes,no,no,no,no,0,42723.18729
4500,4,1,2,yes,yes,yes,no,yes,2,23302.79757
3791.437722,3,2,4,yes,yes,no,no,yes,1,16185.11402
5744.562647,3,1,2,yes,no,yes,no,yes,2,27718.422
3872.983346,4,3,2,yes,yes,yes,yes,no,2,21225.2958
4046.603514,4,2,2,yes,no,no,no,yes,1,12026.67197
2958.039892,4,2,2,yes,no,no,yes,no,2,7787.809685
4415.880433,3,2,2,yes,no,no,no,no,0,15219.78398
3872.983346,4,1,2,yes,no,yes,no,no,2,17427.79144
4062.019202,4,2,2,yes,yes,yes,no,yes,1,13779.76671
4609.772229,3,2,4,yes,no,no,no,yes,2,30413.44852
3376.388603,3,2,2,yes,yes,yes,no,yes,1,14096.94102
4690.41576,3,2,2,yes,no,no,no,yes,2,18328.14596
4043.513324,4,2,2,yes,yes,yes,no,yes,2,19633.05012
3872.983346,3,2,4,yes,yes,yes,no,yes,0,19809.35644
4710.36092,3,1,1,yes,no,no,no,no,1,16641.5835
4458.138625,5,2,2,yes,no,yes,yes,no,2,20588.45906
3708.099244,4,2,2,yes,no,yes,no,yes,1,17226.63196
4322.904116,3,2,4,yes,no,no,no,yes,2,27872.18663
4183.300133,3,1,4,yes,no,no,no,yes,2,20968.5445
3492.849839,4,2,2,yes,no,no,no,yes,1,11959.58625
3860.051813,3,3,2,yes,yes,yes,no,no,1,17519.15777
4135.214626,5,1,2,yes,yes,yes,no,yes,1,14223.00705
4183.300133,3,2,4,yes,no,no,no,yes,2,24471.37974
